reported_date,province_state,population,lat,lng,confirmed,active,deaths,recovered,hospitalization_rate,incident_rate,mortality_rate,people_hospitalized,people_tested,testing_rate
2020-05-25,Wisconsin,5822434,44.2685,-89.6165,15584,5863,514,9207,15.01,267.65,3.3,2339,208963,3588.93
2020-05-24,Wisconsin,5822434,44.2685,-89.6165,15277,5768,510,8999,15.15,262.38,3.34,2315,201483,3460.46
2020-05-31,Wisconsin,5822434,44.2685,-89.6165,18403,6165,592,11646,14.04,316.07,3.22,2583,268506,4611.58
2020-05-30,Wisconsin,5822434,44.2685,-89.6165,18230,6304,588,11338,14.06,313.1,3.23,2563,261138,4485.03
2020-05-29,Wisconsin,5822434,44.2685,-89.6165,17707,6259,568,10880,14.11,304.12,3.21,2499,251295,4315.98
2020-05-28,Wisconsin,5822434,44.2685,-89.6165,16974,6040,550,10384,14.45,291.53,3.24,2452,237693,4082.36
2020-06-04,Wisconsin,5822434,44.2685,-89.6165,19892,6286,626,12980,13.77,341.64,3.15,2739,311259,5345.86
2020-06-03,Wisconsin,5822434,44.2685,-89.6165,19400,6612,616,12172,13.92,333.19,3.18,2700,299111,5137.22
2020-06-02,Wisconsin,5822434,44.2685,-89.6165,18917,6138,607,12172,13.97,324.9,3.21,2643,282660,4854.67
2020-06-01,Wisconsin,5822434,44.2685,-89.6165,18543,6110,595,11838,14.04,318.48,3.21,2603,272138,4673.96
2020-06-08,Wisconsin,5822434,44.2685,-89.6165,21038,6150,646,14242,13.59,361.33,3.07,2860,354291,6084.93
2020-06-07,Wisconsin,5822434,44.2685,-89.6165,20835,6141,647,14047,13.67,357.84,3.11,2848,346702,5954.59
2020-06-06,Wisconsin,5822434,44.2685,-89.6165,20571,6156,645,13770,13.77,353.31,3.14,2832,335373,5760.01
2020-06-05,Wisconsin,5822434,44.2685,-89.6165,20249,6279,633,13337,13.78,347.78,3.13,2791,323581,5557.49
2020-06-12,Wisconsin,5822434,44.2685,-89.6165,22246,5774,689,15783,13.5,382.07,3.1,3003,399608,6863.25
2020-06-11,Wisconsin,5822434,44.2685,-89.6165,21926,5896,682,15348,13.57,376.58,3.11,2976,387980,6663.54
2020-06-10,Wisconsin,5822434,44.2685,-89.6165,21593,5923,671,14999,13.63,370.86,3.11,2943,378705,6504.24
2020-06-09,Wisconsin,5822434,44.2685,-89.6165,21308,6064,661,14583,13.63,365.96,3.1,2904,368518,6329.28
2020-06-16,Wisconsin,5822434,44.2685,-89.6165,23198,5373,703,17122,13.35,398.42,3.03,3096,437528,7514.52
2020-06-15,Wisconsin,5822434,44.2685,-89.6165,22932,5401,694,16837,13.35,393.86,3.03,3061,426379,7323.04
2020-06-14,Wisconsin,5822434,44.2685,-89.6165,22758,5508,692,16558,13.4,390.87,3.04,3049,420124,7215.61
2020-06-13,Wisconsin,5822434,44.2685,-89.6165,22518,5596,691,16231,13.48,386.75,3.07,3035,410917,7057.48
2020-06-20,Wisconsin,5822434,44.2685,-89.6165,24539,4844,744,18951,13.05,421.46,3.03,3203,479102,8228.55
2020-06-19,Wisconsin,5822434,44.2685,-89.6165,24154,5369,730,18055,13.15,414.84,3.02,3177,468905,8053.42
2020-06-18,Wisconsin,5822434,44.2685,-89.6165,23876,5102,719,18055,13.24,410.07,3.01,3160,457789,7862.5
2020-06-17,Wisconsin,5822434,44.2685,-89.6165,23456,5130,713,17613,13.34,402.86,3.04,3128,447190,7680.46
2020-06-23,Wisconsin,5822434,44.2685,-89.6165,25331,4729,750,19852,12.9,435.06,2.96,3268,503496,8647.52
2020-06-22,Wisconsin,5822434,44.2685,-89.6165,25068,4780,745,19543,12.89,430.54,2.97,3231,491702,8444.96
2020-06-21,Wisconsin,5822434,44.2685,-89.6165,24819,4765,744,19310,12.97,426.27,3,3220,485153,8332.48
2020-06-27,Wisconsin,5822434,44.2685,-89.6165,27286,4903,777,21606,12.39,468.64,2.85,3382,545950,9376.66
2020-06-26,Wisconsin,5822434,44.2685,-89.6165,26747,4807,766,21174,12.53,459.38,2.86,3351,536836,9220.13
2020-06-25,Wisconsin,5822434,44.2685,-89.6165,26227,4904,766,20557,12.68,450.45,2.92,3326,527666,9062.64
2020-06-24,Wisconsin,5822434,44.2685,-89.6165,25763,4885,757,20121,12.81,442.48,2.94,3299,513566,8820.47
2020-07-01,Wisconsin,5822434,44.2685,-89.6165,29199,5324,786,23089,11.93,501.49,2.69,3482,583832,10027.28
2020-06-30,Wisconsin,5822434,44.2685,-89.6165,28659,5288,784,22587,12.02,492.22,2.74,3446,571201,9810.35
2020-06-29,Wisconsin,5822434,44.2685,-89.6165,28058,5064,777,22217,12.14,481.89,2.77,3407,558392,9590.35
2020-06-28,Wisconsin,5822434,44.2685,-89.6165,27743,5013,777,21953,12.23,476.48,2.8,3393,552454,9488.37
2020-07-05,Wisconsin,5822434,44.2685,-89.6165,31577,5882,796,24899,11.36,542.33,2.52,3586,618851,10628.73
2020-07-04,Wisconsin,5822434,44.2685,-89.6165,31055,5768,796,24491,11.51,533.37,2.56,3574,613844,10542.74
2020-07-03,Wisconsin,5822434,44.2685,-89.6165,30317,5478,796,24043,11.73,520.69,2.63,3555,606984,10424.92
2020-07-02,Wisconsin,5822434,44.2685,-89.6165,29738,5418,793,23527,11.83,510.75,2.67,3519,596755,10249.24
2020-07-09,Wisconsin,5822434,44.2685,-89.6165,33908,6307,809,26792,10.99,582.37,2.39,3726,660764,11348.59
2020-07-08,Wisconsin,5822434,44.2685,-89.6165,33154,6042,807,26305,11.11,569.42,2.43,3683,647560,11121.81
2020-07-07,Wisconsin,5822434,44.2685,-89.6165,32556,5993,805,25758,11.18,559.15,2.47,3639,636777,10936.61
2020-07-06,Wisconsin,5822434,44.2685,-89.6165,32061,6023,796,25242,11.23,550.65,2.48,3602,624143,10719.62
2020-07-13,Wisconsin,5822434,44.2685,-89.6165,36942,7452,820,28670,10.42,634.48,2.22,3850,699861,12020.08
2020-07-12,Wisconsin,5822434,44.2685,-89.6165,36448,7310,820,28318,10.49,625.99,2.25,3824,693229,11906.17
2020-07-11,Wisconsin,5822434,44.2685,-89.6165,35679,6949,821,27909,10.64,612.78,2.3,3797,685584,11774.87
2020-07-10,Wisconsin,5822434,44.2685,-89.6165,34753,6610,814,27329,10.84,596.88,2.34,3766,673510,11567.5
2020-07-17,Wisconsin,5822434,44.2685,-89.6165,40507,8416,833,31258,9.95,695.71,2.06,4031,756265,12988.81
2020-07-16,Wisconsin,5822434,44.2685,-89.6165,39627,8241,831,30555,10.01,680.59,2.1,3968,742809,12757.71
2020-07-15,Wisconsin,5822434,44.2685,-89.6165,38727,7977,827,29923,10.13,665.13,2.14,3923,728496,12511.88
2020-07-14,Wisconsin,5822434,44.2685,-89.6165,37906,7805,826,29275,10.27,651.03,2.18,3892,714544,12272.26
2020-07-21,Wisconsin,5822434,44.2685,-89.6165,44135,9374,859,33902,9.5,758.02,1.95,4194,798398,13712.44
2020-07-20,Wisconsin,5822434,44.2685,-89.6165,43018,9042,846,33130,9.6,738.83,1.97,4129,783866,13462.86
2020-07-19,Wisconsin,5822434,44.2685,-89.6165,42315,8843,844,32628,9.71,726.76,1.99,4107,776850,13342.36
